spam,text,message_length,word_count
0,Mon oncle m'a dit qu'il payait l'école.,39,7
1,PRIVÉ! Votre relevé de compte 2004 pour 07742676969 indique 786 points Bonus non remboursés. Pour demander un appel 08719180248 Code d'identification: 45239 Expire,163,23
1,"URGENT! Votre Mobile No. a reçu £2000 Bonus Caller Prize le 5/9/03 C'est notre dernière tentative de contacter U! Call from Landline 09064019788 BOX42WR29C, 150PPM",163,25
0,Voici ma nouvelle adresse -apples&pairs&all que malarky,55,7
1,"Aujourd'hui, les numéros Voda se terminant à 7548 sont sélectionnés pour recevoir une indemnité de 350 $. Si vous avez une correspondance, veuillez composer le 08712300220 citant le code de réclamation 4041 application taux standard",232,35
0,Je vais à sao mu aujourd'hui. Ce sera fait seulement à 12 heures.,65,13
0,Ü prédire le temps ü'll finira d'acheter?,41,7
0,C'est une bonne chose.,22,4
0,"Juste pour que tu saches, Yetunde n'a pas encore envoyé d'argent. Je lui ai juste envoyé un texto pour ne pas déranger l'envoi. Donc c'est fini, tu n'as pas à t'impliquer dans quoi que ce soit.",193,36
0,Vous êtes là dans la chambre.,29,6
0,Hey girl. How R U? Hope U R WELL me un DEL R BAK! Encore longtemps aucun C! me donne un APPEL de somme de LUCYxx,112,26
0,K.k:) Combien cela coûte-t-il?,30,4
0,Je suis rentré.,15,3
0,"Chère, appellera Tmorrow.pls accommodation.",43,4
0,"D'abord, répondez à ma question.",32,5
1,"Sunshine Quiz Wkly Q! Gagnez un meilleur lecteur DVD Sony si vous savez dans quel pays se trouve l'Algarve? Txt ansr à 82277. £1,50 SP:Tyrone",141,25
1,Vous voulez 2 se faire baiser ce soir? Vous voulez de vrais emplacements de dogging envoyés directement 2 ur maf? Rejoignez le plus grand réseau de dogging du Royaume-Uni bt Txting GRAVEL à 69888! Nt. ec2a. 31p.msg@150p,219,37
0,Je n'ai fait que msn. C'est yijue@hotmail.com,45,7
0,"Il est là, tu l'appelles et tu le rencontres.",45,9
0,"Non, je vais vérifier toutes les chambres pour les activités.",61,10
1,Vous ne rcv plus de msgs du chat svc. Pour les services Hardcore GRATUITS texte Aller à: 69988 Si u obtenir rien u doit Age Vérifiez avec le réseau yr et essayez à nouveau,171,34
0,J'ai... j'ai paresseux à taper... j'ai oublié ü dans le lec... j'ai vu une pochette mais comme pas v bien...,108,20
0,"K, envoie-moi un texto quand tu seras en route.",47,9
0,"Monsieur, attendez votre courrier.",34,4
0,"Une pensée swt: ""Ne jamais se lasser de faire des petites choses 4 personnes aimables.."" Coz..somtimes ces petites choses occupent la plus grande partie de leurs Cœurs.. Gud ni8",177,29
0,Tu peux ouvrir l'arrière?,25,4
0,Oui vous voyez pas sur le point,31,7
0,Quel est le nom du personnel qui prend les cours pour nous?,59,12
1,"FreeMsg Pourquoi n'avez-vous pas répondu à mon texto? Je suis Randy, sexy, féminine et en direct local. Luv à entendre de u. Netcollex Ltd 08700621170150p par msg reply Stop to end",180,31
0,Umma. will call after check in.notre vie va commencer à partir de qatar donc pls prient très fort.,98,18
0,K..i a supprimé mon contact pour ça?,36,7
0,Sindu a trouvé un emploi dans Birla Soft..,42,8
0,Le vin coule et je n'ai jamais...,33,7
0,Yup i thk cine est mieux parce qu'il n'y a pas besoin de 2 descendre 2 plaza mah.,81,18
0,Ok... réponse typique d'Ur...,29,4
0,"Tu es partout la saleté, sur le sol, les fenêtres, même sur ma chemise. Et parfois quand j'ouvre la bouche, tu es tout ce qui sort. Je rêve de mon monde sans toi, alors la moitié de mes tâches sont dehors aussi. Un temps de joie pour moi, beaucoup de télés que je vais voir. Mais je suppose que comme tout ce que tu dois juste exister, comme la pluie, la grêle et la brume, et quand mon temps ici est fini, toi et moi devenons un.",430,87
0,Aaooooright êtes-vous au travail?,33,4
0,Je quitte ma maison maintenant...,33,5
0,"Bonjour, mon amour, qu'est-ce que tu fais? As-tu eu cette interview aujourd'hui? Es-tu heureux? Es-tu un bon garçon? Penses-tu à moi?",133,21
1,Vous avez une livraison de Nouvel An vous attend. Veuillez appeler le 07046744435 maintenant pour organiser la livraison,120,18
1,Vous êtes un gagnant U ont été spécialement sélectionnés 2 recevoir £1000 cash ou un 4* vacances (vols inc) parler à un opérateur en direct 2 réclamation 0871277810810,167,28
0,Garde-toi en sécurité pour moi parce que j'ai besoin de toi et que tu me manques déjà et j'envie tous ceux qui voient est toi dans la vraie vie,143,29
0,Nouvelle voiture et maison pour mes parents.:)J'ai seulement un nouveau travail en main:),89,13
0,"Je suis tellement amoureux de toi, je suis excitée chaque jour que je passe avec toi, tu me rends si heureuse.",110,21
1,-PLS STOP bootydelious (32/F) vous invite à être son ami. Réponse OUI-434 ou NO-434 Voir elle: www.SMS.ac/u/bootydelious STOP? Envoyer STOP FRND à 62468,152,23
1,"BangBabes Ur commande est en route. U DOIT recevoir un Service Msg 2 télécharger le contenu UR. Si U ne pas, GoTo wap. bangb. tv sur le menu UR mobile internet/service",167,31
0,Je place déjà tous les points ur sur le module e cultures.,58,12
1,URGENT! Nous essayons de vous contacter. Le tirage du week-end dernier montre que vous avez gagné un prix de £900 GUARANTIE. Appelez 09061701939.,145,23
0,"Salut frnd, qui est le meilleur moyen d'éviter de manquer d'esprit à notre bien-aimé?",85,14
0,"J'aime bien le pont, mais j'ai besoin d'elle.",45,8
0,Oui :)c'est complètement hors de la forme :)clark aussi le gaspillage total.,76,12
0,"Monsieur, j'ai besoin du numéro de compte AXIS BANK et de l'adresse bancaire.",77,13
0,"Ouais, peut aller 4 abt gratuit... Muz appeler u pour discuter de liao...",73,13
0,A quelle heure tu descends plus tard?,37,7
0,"Bon sang, je ne peux pas croire que vous avez oublié mon nom de famille Mr. Il va vous donner un indice, son espagnol et commence par m...",138,28
0,"Je vais finir mon bain, bonne nuit.",35,7
0,Dites-moi quand vous aurez l'argent pour que Carlos puisse passer l'appel.,74,11
0,Tu vas toujours au centre commercial?,37,6
0,"Il s'avère que mes amis restent pour tout le spectacle et ne seront pas de retour jusqu'à ~ &lt;#&gt;, alors n'hésitez pas à aller de l'avant et fumer que $ &lt;#&gt; vaut",171,32
0,"Si elle ne répond pas, faites-le-moi savoir.",44,7
0,Bonjour! Vous venez de parler à MANEESHA V. Nous aimerions savoir si vous étiez satisfait de l'expérience. Répondre Toll Free avec Oui ou Non.,142,24
0,Vous avez levé mes espoirs avec l'offre d'argent. Je suis dans le besoin. Surtout quand la fin du mois approche et ça me fait mal d'étudier.,140,26
0,Lol non. U peut me faire confiance.,35,7
0,Je suis un gentleman et je vous traiterai avec dignité et respect.,66,12
0,"Il le fera, vous êtes proches?",30,6
0,Je ne vais rien faire de bien. Au revoir.,41,9
0,Bonjour beautiful! Vous trouvez ce travail? Ne pas être paresseux? Travailler pour récupérer ce filet pour maman? Où est mon petit jouet maintenant? Je lui manque?,163,26
0,"Haha génial, soyez là dans une minute",37,7
1,S'il vous plaît appeler notre représentant du service à la clientèle sur FREEPHONE 0808 145 4742 entre 9h-11h puisque vous avez WON une garantie £1000 cash ou £5000 prix!,170,29
0,"Tu as des radios de Noël, sinon je l'aurai maintenant.",54,10
0,"Je vais me baigner d'abord, mais ma soeur utilise le filet pour dire quand elle finit...",88,16
1,Êtes-vous assez unique? Découvrez à partir du 30 août. www.areyouunique.co.uk,77,10
0,"Je suis désolé, j'ai rejoint la ligue des gens qui ne restent pas en contact. Vous voulez dire beaucoup pour moi. Vous avez été un ami en tout temps même à un grand coût personnel.",180,35
0,Bonjour :) enfin j'ai complété le cours :),42,8
0,Je suggère cependant qu'elle reste avec quelqu'un qui pourra donner ou pour chaque tabouret.,92,14
0,J'espère que vous vous êtes installé pour la nouvelle année scolaire.,69,11
0,Gud mrng cher hav une belle journée,35,7
0,Est-ce que tu as eu cette histoire de personnes,47,9
0,Votre hamster est mort?,23,4
0,Salut sa Kate comment va votre soirée? J'espère que je peux vous voir demain un peu mais je dois ensanglanter babyjontet! Txt de retour si vous pouvez. :) xxx,158,29
0,"Je l'ai trouvé, ENC &lt;#&gt;, où êtes-vous?",44,7
0,Je t'ai envoyé des billets de &lt;#&gt;,39,7
0,Bonjour darlin ive a fini l'université maintenant donc txt moi quand u fini si u peut aimer Kate xxx,100,19
0,Votre compte a été rempli avec succès par INR &lt;DECIMAL&gt;. Votre solde de compte prépayé KeralaCircle est Rs &lt;DECIMAL&gt;. Votre identifiant de transaction est KR &lt;#&gt;.,180,26
0,"Bon matin, dormant ga.",22,4
0,Tu m'appelles alter à 11 h.,27,6
0,Ü dire jusqu'à ce que comme dat i dun acheter ericsson oso ne peut pas oredi...,79,16
0,"Hé, les dats, c'est du dogg.",28,6
0,Vous nous donnez la connexion aujourd'hui elle-même avant &lt;DECIMAL&gt; ou le remboursement de la facture,107,15
0,Les deux :) Je tire de grosses charges alors préparez-vous!,59,10
0,J'espère que tu as eu une bonne pause.,38,8
0,Chez nous pour qu'on puisse toujours discuter,45,7
0,K:)k:)bon:) bien étudier.,25,3
0,Oui... comment ü noe leh...,27,5
0,Vous êtes là maintenant?,24,4
0,Enfin le match se dirige vers le dessin comme votre prédiction.,63,11
0,Je n'ai pas bien dormi ces dernières nuits.,43,8
0,Facile ah?sen a été sélectionné signifie son bon..,50,8
0,Je dois passer l'examen avec le 3 mars.,39,8
0,"Je pense que vous pouvez utiliser votre ATM pour vous inscrire, mais si je peux vous aider à me le dire, mais quand vous êtes sûr que vous êtes prêt.",149,30
0,Prenez votre temps.,19,3
0,Il y a os appelé ubandu qui fonctionnera sans installer dans le disque dur... vous pouvez utiliser ce os pour copier les fichiers importants dans le système et le donner à l'atelier de réparation.,196,34
0,"Bien sûr, il n'y a rien d'autre que du jus romantique un peu seulement du lor.",78,16
1,"500 nouveaux Mobiles de 2004, DOIVENT GO! Txt: NOKIA to No: 89545 & collectionnez le vôtre dès aujourd'hui!À partir de UNIQUEMENT £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",180,25
0,"J'apprécierais que tu m'appelles, j'ai besoin de quelqu'un à qui parler.",72,11
1,"Est-ce que la carrière de votre partenaire de rêve sera bientôt terminée? 2 découvriront gratuitement, txt HORO suivi d'un signe de l'étoile, par exemple HORO ARIES",164,26
0,Hé compagnie Elama po boudyadhu.,32,5
0,"La vie est plus stricte que l'enseignant... Bcoz Enseignant enseigne la leçon &amp; puis conduit l'examen, Mais la vie conduit d'abord l'examen &amp; puis enseigne les leçons.",175,27
0,"Bonjour, je suis debout.",24,4
0,Descendez dans Gandhipuram et marchez pour traverser la route coupée. Côté droit &lt;#&gt; rue et tournez à droite.,115,18
0,"Chère, nous allons chez nous.",29,5
0,"Désolé la batterie est morte, ouais je suis là",46,9
0,Oui:)ici la télévision est toujours disponible sur le lieu de travail..,71,11
1,Texte et rencontrez quelqu'un de sexy aujourd'hui. U peut trouver une date ou même flirter son jusqu'à U. Joindre 4 juste 10p. RÉPONSER avec NAME & AGE par exemple Sam 25. 18 -msg recd@thirtyheight pence,203,35
0,Je l'ai imprimé oh. So &lt;#&gt; à l'étage,42,8
0,Ou être malade un peu plus près comme à l'arrêt de bus dans la même rue,71,16
0,Où es-tu? Quand est-ce que tu arriveras ici?,44,8
0,"Nouvelle Théorie: Argument gagne d SITUATION, mais perd la PERSON. Donc ne discutez pas avec vos amis juste..... coupez-leur &amp; dire, je suis toujours correct.!",163,25
1,U 447801259231 ont un admirateur secret qui cherche 2 prendre contact avec U-find qui ils R*revel qui pense UR si spécial-appel sur 09058094597,143,23
0,Tomarrow audition finale sur mon ordinateur portable donc je ne peux pas.,73,12
0,S'IL VOUS plaît DE M'AVENIR D'UN SPORTSX,40,7
0,"Non, ça devait être pour signer, mais ça sonne mieux.",53,10
0,"Bien que j'ai dit u dat je suis dans les montres de visage baig maintenant, mais j'aime vraiment e watch u a donné parce que c'est fr u. Thanx 4 tout dat u've fait aujourd'hui, je suis touché...",194,38
0,Tu ne te souviens pas de cette vieille pub?,43,9
0,Trop tard. J'ai dit que j'avais le site Web. Je n'avais pas ou je n'avais pas les chaussons,91,18
0,Je t'ai demandé de l'appeler maintenant.,40,6
0,Kallis ne s'est pas battu en 2e manche.,39,8
0,Ça n'a pas marché à nouveau oh. Ok bonne nuit alors. Je vais réparer et l'avoir prêt au moment où vous vous réveillez. Vous êtes très chèrement manqué avoir une bonne nuit de sommeil.,183,34
1,Félicitations pour 500 bons CD ou 125 cadeaux garantis & Entrée gratuite 2 100 wkly dessiner txt MUSIC à 87066 TnCs www.Ldew.com1win150ppmx3age16,145,22
0,Ranjith cal drpd Deeraj et deepak 5min,38,7
0,"Wen ur loveable bcums colère wid u, dnt prendre au sérieux.. Coz être en colère est d la plupart enfantine n vraie façon de montrer l'affection profonde, soins n luv!.. kettoda manda... Bonne journée da.",203,35
0,Qu'est-ce que tu fais? Comment vas-tu?,38,6
0,"Les hauts qui est 3 jours aussi, et la compagnie de transport qui prend 2wks. L'autre façon est les usps qui prend une semaine, mais quand il arrive à la traîne, vous pouvez avoir à soudoyer nipost pour obtenir vos affaires.",224,41
0,"Je suis de retour, je sais quand tu es prête.",45,10
0,"Ne t'attends pas nécessairement à ce que ce soit fait avant que tu reviennes, mais parce que je viens de partir.",112,21
0,Mmm si délicieux bébé... Belle blague à la suzy,47,9
0,Où es-tu amant? J'ai besoin de toi...,37,7
1,Nous avons essayé de vous contacter re votre réponse à notre offre de Video Handset? 750 anytime networks mins? ILLIMITED TEXTE? Caméscope? Répondre ou téléphoner 08000930705 MAINTENANT,185,27
0,Je suis garé à côté d'une MINI!!!! Quand entrez-vous aujourd'hui pensez-vous?,77,11
0,Ouaip,5,1
0,"De toute façon, je vais faire mes courses tout seul, parce que ma sœur n'a pas encore fini.",91,18
0,À LUTON 0125698789 ROYEZ-MOI si vous êtes sur le point de le faire!,67,13
1,Hey Je suis vraiment excité vouloir discuter ou me voir texte nu chaud à 69698 texte chargé à 150pm pour se désabonner text stop 69698,134,25
0,Pourquoi tu viens avec nous?,28,5
0,Même chose. Wana planifie un voyage quelque part alors,54,9
0,"Je n'en suis pas encore sûr, j'essaie toujours de le joindre.",61,11
1,Ur ringtone service a changé! 25 crédits gratuits! Allez sur club4mobiles.com pour choisir le contenu maintenant! Stop? txt CLUB STOP à 87070. 150p/wk Club4 PO Box1146 MK45 2WT,176,28
0,"L'evo, il fallait que je télécharge le flash.",45,8
1,Ringtone Club: Obtenez le graphique des singles UK sur votre mobile chaque semaine et choisissez n'importe quelle sonnerie de qualité supérieure! Ce message est gratuit.,169,25
0,"Venez à Mu, nous trions notre situation de narcotiques",54,9
0,"La nuit s'est terminée pour un autre jour, le matin est venu d'une manière spéciale. Puissiez-vous sourire comme les rayons ensoleillés et laissez vos soucis à la baie bleue.",174,29
1,HMV BONUS SPECIAL 500 livres de véritables bons HMV à gagner. Il suffit de répondre à 4 questions faciles. Jouez maintenant! Envoyer HMV à 86688 Plus d'infos:www.100percent-real.com,181,27
0,"Si je suppose, autant prendre 1 voiture",39,7
0,"Pas d'objection, je n'arrive pas.",33,5
0,Thanx...,8,1
0,Dis à Rob de s'emparer de son gf dans le théâtre.,49,11
0,"Génial, à tout à l'heure.",25,5
0,Alors quel type de nourriture aimez-vous?,41,6
0,Célébrations en plein essor?,28,4
0,On t'a appelé un outil?,23,5
0,"Wen u manquer quelqu'un, la personne est certainement spéciale pour u.... Mais si la personne est si spéciale, pourquoi les manquer, juste Keep-in-touch gdeve..",160,24
0,J'ai demandé de l'argent jusqu'où.,34,5
0,C'est bon...,12,2
